|Nom |Adresse|ville|Telephone|Activité
0|MAGALI PAILLAUX||13012 Marseille|06 25 03 60 27|Activité : entreprise
1|Vidéoland|176 Avenue du Prado|13008 Marseille|04 91 53 31 85|Activité : audiovisuel
2|Mia Nonna|87 Avenue de Toulon|13006 Marseille|04 91 27 72 77|Activité : pizzeria
3|Bodyworks Piercing|52 Rue de la Palud|13001 Marseille|04 91 54 17 95|Activité : tatouage
4|Franck Provost|74 Avenue de Mazargues|13008 Marseille|04 91 22 17 62|Activité : coiffeur
5|Christophe Giraud|100 Traverse de la Rose|13013 Marseille|04 91 06 40 48|Activité : plombier
6|Convergences|73 Boulevard de Saint-Marcel|13011 Marseille|04 91 45 50 37|Activité : dépanneur de télévision, hi-fi, vidéo
7|Christine Caire-Dulac|393 Avenue du Prado|13008 Marseille|04 91 76 17 76|Activité : dermatologue vénéréologue
8|Erilia|Rue Pierre Doize|13010 Marseille|04 91 45 39 15|Activité : HLM
9|Thierry Launay|41 Rue Brandis|13005 Marseille|04 91 29 62 00|Activité : chirurgien
10|Restaurant Pizzeria du Roy d'Espagne|6 Boulevard Vélasquez|13008 Marseille|04 91 72 03 00|Activité : pizzeria
11|Chambre Régionale Economie Sociale PACA|2 Place Félix Baret|13006 Marseille|04 91 54 96 75|Activité : chambre de commerce et d'industrie, de métiers et de l'artisanat, d'agriculture
12|Phinelec|99 Rue de Lyon|13015 Marseille|04 91 58 58 58|Activité : compteurs électrique
13|Cantini Flandin|160 Boulevard Mireille Lauze|13010 Marseille|04 91 17 45 79|Activité : grossiste en alimentation générale
14|Jacques Lebouleur|48 Cours Julien|13006 Marseille|04 91 48 41 45|Activité : grossiste en cuirs et peaux
15|Nature et Découvertes|17 Cours Belsunce|13001 Marseille|04 91 91 98 98|Activité : cadeaux, souvenirs
16|L'Arlecchino|8 Rue Jean-François Leca|13002 Marseille|04 91 90 18 90|Activité : entreprise
17|Interprof Medecine Travail|39 boulevard Vincent Delpuech|13006 MARSEILLE|04 91 81 40 84|Activité : médecine du travail
18|Electric Auto Yachting|6 Rue de la Paix Marcel Paul|13001 Marseille|04 91 33 03 24|Activité : moteurs marins et hors-bord
19|Burovirtuel|18 Rue Jacques Réattu|13009 Marseille|04 91 16 56 00|Activité : location de bureaux équipés
20|Alain Mauny|28 allée Demande|13013 MARSEILLE|04 91 08 41 47|Activité : entreprise
21|Universel Textile|83 Avenue de la Pointe Rouge|13008 Marseille|04 96 15 73 93|Activité : grossiste en commerce de tissus
22|Structures et Métaux de Marseille|70 Boulevard du Sablier|13008 Marseille|04 91 72 37 33|Activité : entreprise de menuiserie métallique
23|Sir Viande|4 Boulevard de la Bougie|13014 Marseille|04 91 63 09 84|Activité : grossiste pour boucher
24|Servitech|503 Rue Saint-Pierre|13012 Marseille|04 96 12 54 54|Activité : grossiste en outillage
25|Serrurerie Metallerie Spin|12 Traverse Magnan|13003 Marseille|04 91 08 85 21|Activité : entreprise de menuiserie métallique
26|Sabre-Tooth|19 Rue des Trois Mages|13001 Marseille|04 91 48 39 29|Activité : disquaire
27|Robert Giordana|168 La Canebière|13001 Marseille|04 91 58 27 19|Activité : pâtissier
28|Procoiff Château Gombert|Traverse Grandjean|13013 Marseille|04 91 66 61 24|Activité : matériel de soins du cheveux
29|Pierre Tortajada|1 Boulevard de la Blancarde|13004 Marseille|04 91 49 02 78|Activité : poissonnier
30|Pass-Copie|222 Rue Saint-Pierre|13005 Marseille|04 91 92 54 21|Activité : photocopie, reprographie
31|Ogec St Joseph de la Madeleine|172 Boulevard de la Libération - Général de Monsabert|13004 Marseille|04 96 12 13 60|Activité : lycée d'enseignement général et technique privé
32|Minelli|33 Quai du Lazaret|13002 Marseille|04 91 44 07 44|Activité : chaussures
33|Midi Seri|38 boulevard Calanque de Samena|13008 MARSEILLE|04 91 25 99 66|Activité : sérigraphiste
34|La Caravelle|34 Quai du Port|13002 Marseille|04 91 90 36 64|Activité : restaurant
35|Joseph Abeille|35 Avenue du Prado|13006 Marseille|04 91 78 86 74|Activité : médecin légal
36|Institut Clairval Chirurgie Orl Face|317 Boulevard du Redon|13009 Marseille|04 91 25 45 18|Activité : chirurgien maxillo-facial
37|Henri-Pierre Pélissier|8 Avenue des Olives|13013 Marseille|04 91 70 18 16|Activité : chirurgien maxillo-facial
38|Gueydon Michel et Compagnie|99 La Canebière|13001 Marseille|04 91 50 46 14|Activité : courtier de marchandises
39|Gildas André|2 Place Félix Baret|13006 Marseille|04 96 11 29 00|Activité : avocat en droit de la propriété intellectuelle
40|Eros Center|5 Boulevard Garibaldi|13001 Marseille|04 91 92 72 30|Activité : articles et librairies érotiques
41|Ebénisterie St Victor Matacchione Frédéric|14 Rue Robert|13007 Marseille|04 91 33 07 87|Activité : ébénisterie
42|Digi Com|53 Boulevard André Aune|13006 Marseille|04 91 54 11 22|Activité : installateur en télécommunications
43|Didier Tourrolier|141 boulevard Baille|13005 MARSEILLE|04 91 29 36 53|Activité : appareils, matériel et fournitures médicales
44|Collège Germaine Tillion|26 Avenue des Caillols|13012 Marseille|04 91 43 49 70|Activité : collège public
45|Cabinet Cartier|83 X Boulevard du Redon|13009 Marseille|04 91 41 48 48|Activité : agent et cabinet d'affaire
46|C.S.I.|2 Rue Saint-Bruno|13004 Marseille|04 91 34 96 49|Activité : micro-informatique
47|Bastide Le Confort Médical|187 Rue Saint-Pierre|13005 Marseille|04 96 12 13 40|Activité : fabricant et installation de matériel médico-chirurgical
48|BHL Technic Etude|555 Rue Saint-Pierre|13012 Marseille|04 95 08 21 63|Activité : mobilier de bureau
49|Agata Cristol|17 Rue Fontange|13006 Marseille|04 91 92 68 45|Activité : diamants, pierres précieuses et gemmes
50|Thévenin Ducrot Distribution|83 Boulevard du Redon|13009 Marseille|04 91 41 27 67|Activité : station-service
51|Station Service Eni France|173 Avenue Clot Bey|13008 Marseille|04 91 72 66 04|Activité : station-service
52|Starlight|centre Vie Bonneveine|13008 Marseille|04 91 73 71 37|Activité : café, brasserie
53|S.E Rest Club House Rowing|34 Boulevard Charles Livon|13007 Marseille|04 91 90 07 78|Activité : restaurant
54|Paineau-Barsoumian|16 plage Estaque|13001 Marseille|04 91 09 30 98|Activité : entreprise
55|McDonald's Provence Restaurants|avenue François Chardigny|13011 Marseille|04 91 89 65 00|Activité : restauration rapide
56|La Plateforme|33 Avenue de la Capelette|13010 Marseille|04 96 12 59 00|Activité : négociant en matériaux de construction
57|Hotelière Rabateau|162 Boulevard Rabatau Daniel Matalon|13010 Marseille|04 91 80 31 00|Activité : hôtel
58|City d'Asie|74 Avenue de Saint-Jérôme|13013 Marseille|04 91 70 27 46|Activité : restauration rapide
59|Centre Socio Culturel d'Endoume|285 Rue d'Endoume|13007 Marseille|04 91 52 08 63|Activité : association, organisme culturel et socio-éducatif
60|Avis Immobilier|23 Allée de la Grande Bastide Cazaulx|13012 Marseille|04 91 87 50 09|Activité : agence immobilière
61|Yves Rocher|39 Rue Saint-Ferréol|13001 Marseille|04 91 33 67 06|Activité : institut de beauté
62|Société Générale|67 Boulevard Périer|13008 Marseille|04 91 53 70 19|Activité : banque
63|Reparation Express 06|17 Cours Belsunce|13001 Marseille|04 91 42 51 77|Activité : télécopieurs, téléphonie, fax
64|Michel Belnet|6 Square Stalingrad|13001 Marseille|04 91 62 09 21|Activité : pneumologue
65|Thierry Tranier|490 Rue Paradis|13008 Marseille|04 91 77 68 42|Activité : chirurgien plastique et esthétique
66|Librairie Maupetit|144 La Canebière|13001 Marseille|04 91 36 50 50|Activité : libraire
67|Michel Fédida|140 Rue Alphonse Daudet|13013 Marseille|04 91 10 04 80|Activité : cardiologue
68|JODAH VINGT SEPT|30 Rue des Électriciens|13012 Marseille|04 91 27 20 83|Activité : journaux, presse, magazines, éditeur
69|Polysemie|12 Rue de la Cathédrale|13002 Marseille|04 91 19 80 52|Activité : dessinateur
70|Auchan|57 Boulevard Romain Rolland|13010 Marseille|08 10 39 93 99|Activité : centres commerciaux et grands magasins
71|Nicole Colonna D'Istria|41 Rue Brandis|13005 Marseille|04 91 29 62 00|Activité : gynécologue
72|Martine Rogliano-Brochard|218 Rue d'Endoume|13007 Marseille|04 91 31 05 16|Activité : pédicure-podologue
73|VETBORELY|17 Avenue Alexandre Dumas|13008 Marseille|04 91 22 86 40|Activité : vétérinaire
74|Heytens|252 route Trois Lucs à la Valentine|13011 Marseille|04 91 45 52 14|Activité : tapissier décorateur
75|Au Vieux Campeur|255 Avenue du Prado|13008 Marseille|04 91 16 30 30|Activité : magasin de sport
76|Self Piscine|Avenue de Saint-Menet|13011 Marseille|04 91 27 02 09|Activité : équipements pour piscines
77|Robert Bigonet|18 Rue Jacques Réattu|13009 Marseille|04 91 72 51 22|Activité : jardinier, paysagiste
